ens_id,name,log2FC,aveEXP,t,p-value,q-value
"ENSG00000166741","NNMT","-2.62","8.61","-12.03","1.2e-29","8.54e-30"
"ENSG00000166803","PCLAF","2.01","2.89","18.33","1.49e-58","4.16e-58"
"ENSG00000167900","TK1","2.22","3.55","20.53","2.01e-69","1.01e-68"
"ENSG00000168389","MFSD2A","-3.36","3.81","-18.41","5.95e-59","1.7e-58"
"ENSG00000169136","ATF5","-2.41","7.75","-13.67","1.16e-36","1.13e-36"
"ENSG00000169245","CXCL10","2.14","3.12","12.81","6.05e-33","4.96e-33"
"ENSG00000169627","BOLA2B","2.09","5.89","25.72","1.87e-95","7.37e-94"
"ENSG00000169715","MT1E","-3.30","7.24","-14.50","2.18e-40","2.51e-40"
"ENSG00000169855","ROBO1","2.21","2.65","16.31","8.43e-49","1.43e-48"
"ENSG00000170312","CDK1","2.28","2.21","21.10","2.63e-72","1.58e-71"
"ENSG00000170345","FOS","-2.11","4.83","-13.36","2.49e-35","2.28e-35"
"ENSG00000170509","HSD17B13","-2.22","4.09","-8.99","4.14e-18","1.76e-18"
"ENSG00000171848","RRM2","2.25","2.61","18.91","2.12e-61","6.89e-61"
"ENSG00000172016","REG3A","2.03","1.94","6.72","4.55e-11","1.35e-11"
"ENSG00000172425","TTC36","-3.05","3.52","-16.78","4.76e-51","9.1e-51"
"ENSG00000173432","SAA1","-3.84","9.00","-12.06","9.23e-30","6.64e-30"
"ENSG00000173702","MUC13","2.49","2.52","11.20","2.73e-26","1.69e-26"
"ENSG00000174059","CD34","2.43","3.11","31.46","1.43e-123","2.66e-121"
"ENSG00000175003","SLC22A1","-3.28","6.36","-13.92","9.02e-38","9.35e-38"
"ENSG00000175063","UBE2C","2.98","3.01","22.46","4.07e-79","4e-78"
"ENSG00000175336","APOF","-2.63","4.86","-14.96","1.75e-42","2.22e-42"
"ENSG00000175793","SFN","2.42","2.66","13.58","2.78e-36","2.65e-36"
"ENSG00000176890","TYMS","2.04","3.62","18.06","3.01e-57","7.8e-57"
"ENSG00000177628","GBA1","2.46","5.45","33.58","1.36e-133","5.57e-131"
"ENSG00000180432","CYP8B1","-2.34","5.29","-10.68","2.99e-24","1.69e-24"
"ENSG00000181019","NQO1","3.17","3.75","13.34","3.11e-35","2.83e-35"
"ENSG00000182481","KPNA2","2.03","4.30","21.95","1.59e-76","1.3e-75"
"ENSG00000182566","CLEC4G","-3.74","1.68","-34.46","1.02e-137","5.19e-135"
"ENSG00000184374","COLEC10","-2.79","1.74","-30.15","2.85e-117","3.89e-115"
"ENSG00000187193","MT1X","-3.41","8.18","-17.20","4.88e-53","1.02e-52"
"ENSG00000187498","COL4A1","2.07","4.10","17.40","4.98e-54","1.09e-53"
"ENSG00000188257","PLA2G2A","-2.02","5.81","-6.03","3.1e-09","8.27e-10"
"ENSG00000188536","HBA2","-2.90","5.52","-18.20","6.22e-58","1.67e-57"
"ENSG00000197408","CYP2B6","-2.11","4.56","-11.62","5.49e-28","3.66e-28"
"ENSG00000197580","BCO2","-3.13","2.86","-25.40","7.52e-94","2.4e-92"
"ENSG00000198074","AKR1B10","4.09","5.50","13.76","4.29e-37","4.29e-37"
"ENSG00000198077","CYP2A7","-2.22","3.22","-9.27","4.62e-19","2.05e-19"
"ENSG00000198417","MT1F","-3.88","4.68","-19.76","1.3e-65","5.23e-65"
"ENSG00000198650","TAT","-2.28","6.62","-9.42","1.36e-19","6.21e-20"
"ENSG00000198758","EPS8L3","2.11","1.87","14.26","2.6e-39","2.88e-39"
"ENSG00000198901","PRC1","2.26","2.87","20.96","1.35e-71","7.74e-71"
"ENSG00000203760","CENPW","2.14","2.64","21.24","5.25e-73","3.31e-72"
"ENSG00000204379","XAGE1A","2.17","1.56","8.73","3.32e-17","1.36e-17"
"ENSG00000204382","XAGE1B","2.01","1.47","8.73","3.26e-17","1.33e-17"
"ENSG00000205358","MT1H","-5.33","4.07","-23.19","8.91e-83","1.15e-81"
"ENSG00000205362","MT1A","-2.28","4.71","-11.45","2.7e-27","1.75e-27"
"ENSG00000205364","MT1M","-4.43","3.58","-22.44","5.28e-79","5.14e-78"
"ENSG00000206172","HBA1","-3.15","4.62","-20.41","7.39e-69","3.62e-68"
"ENSG00000213398","LCAT","-2.19","5.53","-16.80","3.76e-51","7.24e-51"
"ENSG00000213886","UBD","4.78","6.69","25.06","3.93e-92","1.1e-90"
"ENSG00000215644","GCGR","-3.04","3.69","-16.81","3.43e-51","6.62e-51"
"ENSG00000237649","KIFC1","2.08","1.91","20.04","5.46e-67","2.41e-66"
"ENSG00000237988","OR2I1P","2.91","3.62","16.56","5.18e-50","9.39e-50"
"ENSG00000240247","DEFA1B","-2.07","0.82","-20.20","8.64e-68","3.95e-67"
"ENSG00000242265","PEG10","2.37","2.75","9.12","1.55e-18","6.7e-19"
"ENSG00000243696","ENSG00000243696","-2.41","3.65","-17.37","7.13e-54","1.55e-53"
"ENSG00000244734","HBB","-3.39","5.26","-20.95","1.65e-71","9.37e-71"
"ENSG00000255974","CYP2A6","-2.33","7.09","-7.49","2.87e-13","9.61e-14"
"ENSG00000257017","HP","-2.08","13.03","-10.14","3.25e-22","1.68e-22"
"ENSG00000263761","GDF2","-2.25","0.89","-34.77","3.72e-139","2.54e-136"
"ENSG00000276409","CCL14","-2.13","3.91","-13.81","2.77e-37","2.8e-37"
