ens_id,name,log2FC,aveEXP,t,p-value,q-value
"ENSG00000162892","IL24","2.08","2.71","7.83","2.42e-14","2.58e-14"
"ENSG00000162896","PIGR","-2.73","1.67","-7.65","8.82e-14","8.84e-14"
"ENSG00000163092","XIRP2","-2.00","1.25","-6.48","2e-10","1.36e-10"
"ENSG00000163209","SPRR3","-3.86","7.46","-6.59","1.01e-10","7.08e-11"
"ENSG00000163359","COL6A3","2.74","5.70","10.37","3.35e-23","1.08e-22"
"ENSG00000163568","AIM2","2.76","3.46","12.05","6.29e-30","4.9e-29"
"ENSG00000163815","CLEC3B","-2.26","2.70","-13.48","3.93e-36","6.95e-35"
"ENSG00000164120","HPGD","-2.26","2.39","-9.94","1.41e-21","3.68e-21"
"ENSG00000164530","PI16","-2.12","1.02","-10.87","3.95e-25","1.63e-24"
"ENSG00000164692","COL1A2","3.05","8.34","10.54","7.79e-24","2.71e-23"
"ENSG00000164708","PGAM2","-2.38","1.60","-8.82","1.38e-17","2.21e-17"
"ENSG00000164879","CA3","-2.65","1.30","-10.48","1.31e-23","4.44e-23"
"ENSG00000164932","CTHRC1","3.14","4.84","13.18","8.75e-35","1.27e-33"
"ENSG00000165092","ALDH1A1","-2.41","3.62","-6.70","4.94e-11","3.62e-11"
"ENSG00000165795","NDRG2","-2.45","5.50","-12.71","1.02e-32","1.16e-31"
"ENSG00000165949","IFI27","2.71","10.62","11.70","1.85e-28","1.24e-27"
"ENSG00000166670","MMP10","2.87","4.80","7.17","2.43e-12","2.08e-12"
"ENSG00000166851","PLK1","2.12","4.90","16.21","8.01e-49","7.35e-47"
"ENSG00000166923","GREM1","2.05","3.20","8.07","4.28e-15","5.01e-15"
"ENSG00000167123","CERCAM","2.23","4.88","11.97","1.41e-29","1.07e-28"
"ENSG00000167588","GPD1","-2.50","0.76","-18.26","6.83e-59","3.13e-56"
"ENSG00000167653","PSCA","-2.50","3.27","-7.70","6e-14","6.13e-14"
"ENSG00000167676","PLIN4","-2.08","0.74","-16.16","1.39e-48","1.23e-46"
"ENSG00000167759","KLK13","-2.43","5.09","-5.82","9.82e-09","5.45e-09"
"ENSG00000167900","TK1","2.18","6.34","16.05","4.96e-48","3.95e-46"
"ENSG00000168309","FAM107A","-2.14","1.08","-17.21","1.1e-53","1.9e-51"
"ENSG00000168447","SCNN1B","-2.23","2.81","-9.70","1.11e-20","2.6e-20"
"ENSG00000168477","TNXB","-2.08","1.92","-11.52","9.8e-28","5.91e-27"
"ENSG00000168530","MYL1","-2.73","2.77","-5.32","1.48e-07","7.1e-08"
"ENSG00000168542","COL3A1","3.35","8.15","10.90","2.95e-25","1.24e-24"
"ENSG00000169174","PCSK9","2.18","3.26","9.19","7.19e-19","1.35e-18"
"ENSG00000169245","CXCL10","2.64","5.27","6.98","8.37e-12","6.74e-12"
"ENSG00000169248","CXCL11","2.09","3.09","6.14","1.55e-09","9.45e-10"
"ENSG00000169550","MUC15","-2.04","2.09","-9.61","2.44e-20","5.47e-20"
"ENSG00000170290","SLN","-2.32","2.49","-5.30","1.68e-07","7.98e-08"
"ENSG00000170423","KRT78","-3.54","3.81","-9.62","2.13e-20","4.83e-20"
"ENSG00000170477","KRT4","-6.23","4.71","-11.47","1.52e-27","9e-27"
"ENSG00000170801","HTRA3","2.05","4.17","8.80","1.7e-17","2.69e-17"
"ENSG00000171195","MUC7","-3.21","0.69","-11.08","5.8e-26","2.76e-25"
"ENSG00000171201","SMR3B","-3.12","0.39","-13.20","7.2e-35","1.07e-33"
"ENSG00000171208","NETO2","2.07","4.09","14.36","4.11e-40","1.22e-38"
"ENSG00000171401","KRT13","-4.63","8.23","-7.93","1.14e-14","1.27e-14"
"ENSG00000171476","HOPX","-2.36","5.79","-8.68","4.13e-17","6.26e-17"
"ENSG00000172005","MAL","-5.17","3.68","-12.40","2.08e-31","2.01e-30"
"ENSG00000172382","PRSS27","-2.51","4.20","-8.02","6.19e-15","7.1e-15"
"ENSG00000172478","MAB21L4","-2.49","3.29","-9.47","7.58e-20","1.61e-19"
"ENSG00000173991","TCAP","-2.84","2.60","-6.15","1.48e-09","9.08e-10"
"ENSG00000175040","CHST2","2.21","3.36","10.90","3.15e-25","1.32e-24"
"ENSG00000175063","UBE2C","2.32","6.28","17.16","1.82e-53","2.94e-51"
"ENSG00000175084","DES","-2.67","3.75","-4.79","2.14e-06","8.74e-07"
"ENSG00000175600","SUGCT","2.03","3.54","10.87","3.97e-25","1.63e-24"
"ENSG00000177791","MYOZ1","-2.63","1.60","-8.40","3.51e-16","4.73e-16"
"ENSG00000178690","DYNAP","-2.48","0.80","-12.77","5.67e-33","6.75e-32"
"ENSG00000178999","AURKB","2.16","5.06","15.46","3.18e-45","1.71e-43"
"ENSG00000180209","MYL11","-2.26","3.04","-5.47","6.88e-08","3.43e-08"
"ENSG00000182379","NXPH4","2.22","3.50","10.61","4.31e-24","1.55e-23"
"ENSG00000182492","BGN","2.03","7.23","8.70","3.58e-17","5.47e-17"
"ENSG00000183844","FAM3B","-3.54","2.32","-10.65","3.03e-24","1.12e-23"
"ENSG00000184502","GAST","2.02","2.10","8.13","2.69e-15","3.24e-15"
"ENSG00000184530","C6orf58","-2.59","0.56","-10.73","1.46e-24","5.66e-24"
