ens_id,name,log2FC,aveEXP,t,p-value,q-value
"ENSG00000109906","ZBTB16","-3.92","1.65","-34.44","5.77e-136","1.62e-135"
"ENSG00000109920","FNBP4","-2.12","4.94","-23.10","1.16e-81","8.54e-82"
"ENSG00000110057","UNC93B1","2.68","5.28","26.82","5.67e-100","6.59e-100"
"ENSG00000110080","ST3GAL4","-2.79","4.45","-27.62","7.54e-104","9.64e-104"
"ENSG00000110092","CCND1","2.66","4.53","15.68","1.23e-45","3.82e-46"
"ENSG00000110171","TRIM3","-2.34","2.83","-36.03","3.91e-143","1.3e-142"
"ENSG00000110195","FOLR1","7.94","6.95","44.18","1.07e-177","8.7e-177"
"ENSG00000110203","FOLR3","3.02","2.63","15.56","4.83e-45","1.49e-45"
"ENSG00000110318","CEP126","-2.39","1.21","-36.76","2.13e-146","7.91e-146"
"ENSG00000110455","ACCS","-2.32","3.26","-24.79","5.15e-90","4.71e-90"
"ENSG00000110697","PITPNM1","2.00","4.29","18.48","6.58e-59","2.82e-59"
"ENSG00000110717","NDUFS8","2.07","7.94","26.39","6.91e-98","7.61e-98"
"ENSG00000110811","P3H3","-2.76","3.57","-20.68","1.03e-69","5.68e-70"
"ENSG00000110844","PRPF40B","-2.21","3.83","-25.55","9.63e-94","9.44e-94"
"ENSG00000110852","CLEC2B","-2.88","2.92","-26.69","2.46e-99","2.81e-99"
"ENSG00000110888","CAPRIN2","-2.21","3.28","-26.30","2.12e-97","2.3e-97"
"ENSG00000111057","KRT18","5.80","8.33","49.89","7.86e-200","1.05e-198"
"ENSG00000111077","TNS2","-3.26","5.25","-28.81","1.25e-109","1.84e-109"
"ENSG00000111206","FOXM1","3.89","4.34","34.23","5.15e-135","1.41e-134"
"ENSG00000111247","RAD51AP1","2.64","3.08","27.09","2.81e-101","3.36e-101"
"ENSG00000111319","SCNN1A","4.75","6.39","38.40","1.43e-153","6.18e-153"
"ENSG00000111331","OAS3","2.17","3.97","14.50","3.28e-40","8.99e-41"
"ENSG00000111335","OAS2","3.00","3.96","17.81","1.04e-55","4.11e-56"
"ENSG00000111341","MGP","-2.64","7.02","-17.31","2.85e-53","1.06e-53"
"ENSG00000111344","RASAL1","3.21","2.88","28.55","2.3e-108","3.29e-108"
"ENSG00000111404","RERGL","-3.02","0.81","-29.35","3.49e-112","5.41e-112"
"ENSG00000111450","STX2","-2.15","2.27","-27.24","4.97e-102","6.03e-102"
"ENSG00000111452","ADGRD1","-3.37","1.49","-33.21","2.29e-130","5.59e-130"
"ENSG00000111640","GAPDH","2.19","11.93","23.05","2.03e-81","1.5e-81"
"ENSG00000111664","GNB3","-3.25","1.51","-39.57","1.33e-158","6.63e-158"
"ENSG00000111665","CDCA3","2.24","4.41","21.26","1.45e-72","8.44e-73"
"ENSG00000111679","PTPN6","2.57","4.70","34.71","3.43e-137","9.91e-137"
"ENSG00000111790","FGFR1OP2","-2.08","4.09","-25.21","4.74e-92","4.51e-92"
"ENSG00000111799","COL12A1","-2.37","4.77","-14.62","9.34e-41","2.59e-41"
"ENSG00000111879","FAM184A","-2.08","1.07","-32.49","5.12e-127","1.14e-126"
"ENSG00000112139","MDGA1","-2.27","1.45","-28.13","2.37e-106","3.2e-106"
"ENSG00000112214","FHL5","-2.14","0.57","-28.40","1.25e-107","1.73e-107"
"ENSG00000112320","SOBP","-2.22","1.69","-24.33","9.32e-88","8.15e-88"
"ENSG00000112378","PERP","2.66","4.92","23.71","1.12e-84","9.06e-85"
"ENSG00000112511","PHF1","-2.75","5.45","-35.17","2.86e-139","8.54e-139"
"ENSG00000112541","PDE10A","-2.11","0.81","-28.20","1.18e-106","1.6e-106"
"ENSG00000112562","SMOC2","-3.65","3.81","-27.64","5.66e-104","7.25e-104"
"ENSG00000112742","TTK","2.90","2.69","30.44","2.11e-117","3.77e-117"
"ENSG00000112773","TENT5A","-2.26","2.49","-27.25","4.82e-102","5.86e-102"
"ENSG00000112782","CLIC5","3.51","3.42","22.83","2.57e-80","1.83e-80"
"ENSG00000112936","C7","-6.96","4.10","-31.26","2.87e-121","5.61e-121"
"ENSG00000112984","KIF20A","3.41","3.26","33.03","1.6e-129","3.8e-129"
"ENSG00000113108","APBB3","-3.17","3.91","-35.40","2.62e-140","8.11e-140"
"ENSG00000113240","CLK4","-2.42","3.00","-33.86","2.49e-133","6.54e-133"
"ENSG00000113248","PCDHB15","-2.22","1.20","-26.08","2.37e-96","2.48e-96"
"ENSG00000113319","RASGRF2","-2.83","1.45","-35.53","6.41e-141","2e-140"
"ENSG00000113361","CDH6","3.50","3.73","18.55","2.96e-59","1.28e-59"
"ENSG00000113368","LMNB1","2.42","4.01","22.01","2.97e-76","1.9e-76"
"ENSG00000113593","PPWD1","-2.13","3.62","-28.21","1.01e-106","1.37e-106"
"ENSG00000113645","WWC1","3.88","4.14","39.12","1.12e-156","5.31e-156"
"ENSG00000113721","PDGFRB","-3.38","4.08","-26.28","2.47e-97","2.68e-97"
"ENSG00000113739","STC2","2.22","2.45","17.85","7.07e-56","2.81e-56"
"ENSG00000113763","UNC5A","2.23","2.05","12.95","2.08e-33","4.74e-34"
"ENSG00000113946","CLDN16","3.93","3.38","16.52","1.55e-49","5.29e-50"
"ENSG00000113971","NPHP3","-3.31","2.81","-43.84","2.41e-176","1.94e-175"
"ENSG00000114115","RBP1","-2.86","7.86","-19.95","4.16e-66","2.11e-66"
"ENSG00000114346","ECT2","3.32","3.90","34.15","1.18e-134","3.2e-134"
"ENSG00000114638","UPK1B","2.84","2.45","15.57","4.22e-45","1.3e-45"
"ENSG00000114646","CSPG5","2.05","1.98","18.48","6.55e-59","2.82e-59"
"ENSG00000114654","EFCC1","-2.23","1.26","-26.25","3.41e-97","3.68e-97"
"ENSG00000114857","NKTR","-3.27","3.63","-35.26","1.04e-139","3.16e-139"
"ENSG00000114923","SLC4A3","-4.47","3.48","-39.41","6.64e-158","3.22e-157"
"ENSG00000114993","RTKN","2.00","5.14","20.76","4.15e-70","2.31e-70"
"ENSG00000115009","CCL20","2.43","2.28","13.05","7.65e-34","1.77e-34"
"ENSG00000115163","CENPA","3.46","3.13","33.43","2.25e-131","5.56e-131"
"ENSG00000115226","FNDC4","-3.24","2.79","-34.30","2.33e-135","6.45e-135"
"ENSG00000115290","GRB14","-2.40","1.52","-22.60","3.36e-79","2.33e-79"
"ENSG00000115295","CLIP4","-2.35","2.95","-31.75","1.47e-123","3.01e-123"
"ENSG00000115306","SPTBN1","-2.15","4.93","-23.54","8.05e-84","6.36e-84"
"ENSG00000115339","GALNT3","2.38","4.13","21.11","8.13e-72","4.66e-72"
"ENSG00000115361","ACADL","-3.99","0.88","-78.87","1.55e-290","2.25e-288"
"ENSG00000115363","EVA1A","2.97","3.23","26.17","9.05e-97","9.57e-97"
"ENSG00000115380","EFEMP1","-4.10","4.06","-24.30","1.44e-87","1.26e-87"
"ENSG00000115461","IGFBP5","-4.68","6.29","-26.32","1.57e-97","1.72e-97"
"ENSG00000115468","EFHD1","-2.67","3.89","-17.70","3.59e-55","1.4e-55"
"ENSG00000115504","EHBP1","-2.03","3.74","-24.83","3.26e-90","3e-90"
"ENSG00000115641","FHL2","-3.41","6.00","-28.51","3.7e-108","5.25e-108"
"ENSG00000115657","ABCB6","-2.06","4.13","-23.97","5.64e-86","4.72e-86"
"ENSG00000115738","ID2","-2.23","5.66","-19.23","1.41e-62","6.59e-63"
"ENSG00000115884","SDC1","3.04","3.78","18.81","1.51e-60","6.74e-61"
"ENSG00000116001","TIA1","-2.01","5.20","-20.02","1.86e-66","9.55e-67"
"ENSG00000116039","ATP6V1B1","4.81","5.62","25.95","1.08e-95","1.11e-95"
"ENSG00000116132","PRRX1","-2.19","2.80","-13.22","1.35e-34","3.18e-35"
"ENSG00000116133","DHCR24","2.69","6.64","19.11","5.68e-62","2.61e-62"
"ENSG00000116194","ANGPTL1","-4.26","1.85","-34.72","2.98e-137","8.61e-137"
"ENSG00000116285","ERRFI1","-3.10","4.47","-24.70","1.48e-89","1.33e-89"
"ENSG00000116678","LEPR","-2.45","1.91","-28.10","3.66e-106","4.92e-106"
"ENSG00000116741","RGS2","-3.35","3.83","-23.14","7.06e-82","5.24e-82"
"ENSG00000116754","SRSF11","-2.14","6.20","-25.62","4.39e-94","4.32e-94"
"ENSG00000116761","CTH","-2.74","2.07","-26.80","6.95e-100","8.06e-100"
"ENSG00000116774","OLFML3","-2.23","5.05","-16.56","9.97e-50","3.42e-50"
"ENSG00000116962","NID1","-3.27","3.35","-27.15","1.44e-101","1.73e-101"
"ENSG00000116990","MYCL","3.67","3.29","24.66","2.35e-89","2.12e-89"
"ENSG00000117020","AKT3","-3.12","2.19","-28.48","5.19e-108","7.3e-108"
"ENSG00000117091","CD48","2.18","2.80","16.14","8.91e-48","2.92e-48"
"ENSG00000117318","ID3","-2.19","4.91","-17.29","3.28e-53","1.22e-53"
"ENSG00000117394","SLC2A1","3.26","6.99","23.22","3e-82","2.26e-82"
"ENSG00000117399","CDC20","5.16","4.95","47.05","4.79e-189","5.06e-188"
"ENSG00000117425","PTCH2","-3.37","1.57","-39.52","2.07e-158","1.02e-157"
"ENSG00000117472","TSPAN1","3.97","4.12","20.46","1.38e-68","7.44e-69"
"ENSG00000117479","SLC19A2","-2.25","2.23","-28.55","2.43e-108","3.47e-108"
"ENSG00000117525","F3","-4.37","3.33","-32.66","8.37e-128","1.9e-127"
"ENSG00000117594","HSD11B1","-3.90","2.12","-35.58","3.81e-141","1.2e-140"
