ens_id,name,log2FC,aveEXP,t,p-value,q-value
"ENSG00000114670","NEK11","-3.10","3.04","-41.97","1.98e-132","2.48e-132"
"ENSG00000114841","DNAH1","-3.32","3.32","-52.68","4.21e-160","2.7e-159"
"ENSG00000115163","CENPA","3.32","3.64","38.82","2.49e-123","1.92e-123"
"ENSG00000115194","SLC30A3","-4.63","3.61","-69.69","5.41e-196","3.42e-194"
"ENSG00000115221","ITGB6","-4.53","3.69","-34.97","1.46e-111","7.09e-112"
"ENSG00000115252","PDE1A","-3.12","3.05","-28.25","4.49e-89","1.2e-89"
"ENSG00000115255","REEP6","-3.32","6.86","-37.36","5.91e-119","3.81e-119"
"ENSG00000115257","PCSK4","-4.90","4.88","-48.48","8.04e-150","2.6e-149"
"ENSG00000115290","GRB14","-3.64","3.77","-41.90","3.03e-132","3.76e-132"
"ENSG00000115380","EFEMP1","3.05","3.73","20.49","2.78e-60","4.18e-61"
"ENSG00000115523","GNLY","3.16","2.48","26.39","2.02e-82","4.68e-83"
"ENSG00000116254","CHD5","-5.26","3.33","-50.42","1.21e-154","5.52e-154"
"ENSG00000116299","ELAPOR1","-3.13","3.22","-27.73","3.16e-87","8.08e-88"
"ENSG00000116885","OSCP1","-3.60","4.72","-40.37","7.24e-128","6.97e-128"
"ENSG00000117155","SSX2IP","-3.94","4.79","-39.43","3.77e-125","3.17e-125"
"ENSG00000117215","PLA2G2D","3.25","1.66","17.31","6.73e-48","8.11e-49"
"ENSG00000117472","TSPAN1","-3.89","3.25","-22.80","4.21e-69","7.5e-70"
"ENSG00000117477","CCDC181","-3.09","3.37","-30.40","1.54e-96","4.83e-97"
"ENSG00000118137","APOA1","-4.59","6.58","-17.04","7.91e-47","9.39e-48"
"ENSG00000118156","ZNF541","-4.12","2.65","-59.07","1.35e-174","2.36e-173"
"ENSG00000118245","TNP1","-11.02","6.62","-41.12","5.02e-130","5.46e-130"
"ENSG00000118307","DNAI7","-3.05","2.77","-31.47","3.7e-100","1.3e-100"
"ENSG00000118434","SPACA1","-5.17","2.85","-42.10","8.54e-133","1.09e-132"
"ENSG00000118491","ZC2HC1B","-3.88","2.13","-33.62","3.12e-107","1.33e-107"
"ENSG00000118492","ADGB","-4.21","2.57","-36.52","2.24e-116","1.28e-116"
"ENSG00000118557","PMFBP1","-3.28","2.91","-37.15","2.55e-118","1.6e-118"
"ENSG00000118596","SLC16A7","-3.03","2.09","-33.73","1.38e-107","5.96e-108"
"ENSG00000118971","CCND2","3.49","4.36","35.10","5.83e-112","2.87e-112"
"ENSG00000118997","DNAH7","-3.35","2.09","-44.73","4.89e-140","8.9e-140"
"ENSG00000119147","ECRG4","-4.48","3.71","-30.66","1.98e-97","6.39e-98"
"ENSG00000119636","BBOF1","-3.23","3.32","-41.33","1.29e-130","1.47e-130"
"ENSG00000119661","DNAL1","-3.04","4.16","-34.44","6.98e-110","3.26e-110"
"ENSG00000119703","ZC2HC1C","-4.57","4.13","-39.72","5.59e-126","4.92e-126"
"ENSG00000120051","CFAP58","-3.28","2.35","-36.86","1.98e-117","1.2e-117"
"ENSG00000120160","EQTN","-4.88","2.61","-39.32","8.42e-125","7.01e-125"
"ENSG00000120210","INSL6","-3.94","2.24","-47.91","2.34e-148","7.04e-148"
"ENSG00000120289","MAGEB4","-3.05","1.63","-53.39","8.57e-162","6.53e-161"
"ENSG00000120440","TTLL2","-4.08","2.30","-35.52","2.88e-113","1.48e-113"
"ENSG00000120563","LYZL1","-5.58","2.94","-39.63","1.01e-125","8.74e-126"
"ENSG00000120885","CLU","-4.22","9.61","-27.65","5.77e-87","1.47e-87"
"ENSG00000121101","TEX14","-4.17","3.25","-41.63","1.73e-131","2.06e-131"
"ENSG00000121316","PLBD1","3.06","5.19","28.53","4.59e-90","1.25e-90"
"ENSG00000121380","BCL2L14","-3.30","3.40","-22.29","3.48e-67","6.01e-68"
"ENSG00000121446","RGSL1","-3.84","2.01","-37.90","1.32e-120","9.02e-121"
"ENSG00000121570","DPPA4","3.50","4.12","19.67","4.43e-57","6.27e-58"
"ENSG00000121716","PILRB","-3.11","5.79","-43.77","2.01e-137","3.24e-137"
"ENSG00000121933","TMIGD3","-4.07","3.74","-35.58","1.82e-113","9.39e-114"
"ENSG00000121966","CXCR4","3.08","4.05","30.48","7.98e-97","2.53e-97"
"ENSG00000122145","TBX22","-4.59","2.59","-67.83","1.84e-192","1.01e-190"
"ENSG00000122304","PRM2","-12.08","7.07","-43.75","2.25e-137","3.6e-137"
"ENSG00000122644","ARL4A","-3.23","6.02","-30.73","1.14e-97","3.7e-98"
"ENSG00000122694","GLIPR2","3.07","3.90","28.11","1.4e-88","3.69e-89"
