ens_id,name,log2FC,aveEXP,t,p-value,q-value
"ENSG00000165891","E2F7","2.33","2.45","9.42","9.1e-19","2.56e-18"
"ENSG00000165905","LARGE2","2.14","4.00","5.98","6.01e-09","6.8e-09"
"ENSG00000165949","IFI27","2.79","10.33","6.68","1.06e-10","1.46e-10"
"ENSG00000165995","CACNB2","-2.49","0.52","-23.41","2.23e-71","1.94e-69"
"ENSG00000166033","HTRA1","-2.09","6.05","-6.54","2.39e-10","3.19e-10"
"ENSG00000166086","JAM3","-3.46","1.86","-16.32","5.06e-44","6.3e-43"
"ENSG00000166145","SPINT1","3.78","7.02","15.06","3.92e-39","3.71e-38"
"ENSG00000166147","FBN1","-2.82","2.68","-7.49","6.65e-13","1.15e-12"
"ENSG00000166250","CLMP","-2.80","1.64","-8.56","4.74e-16","1.1e-15"
"ENSG00000166265","CYYR1","-2.28","1.52","-11.05","2.78e-24","1.15e-23"
"ENSG00000166278","C2","2.08","4.42","4.53","8.2e-06","5.94e-06"
"ENSG00000166292","TMEM100","-2.78","0.62","-10.34","8.08e-22","2.84e-21"
"ENSG00000166313","APBB1","-3.49","2.54","-11.69","1.58e-26","7.39e-26"
"ENSG00000166341","DCHS1","-2.77","1.22","-12.86","8.37e-31","5.09e-30"
"ENSG00000166402","TUB","-3.26","0.87","-16.68","2.05e-45","2.74e-44"
"ENSG00000166405","RIC3","-2.76","0.86","-12.12","4.47e-28","2.32e-27"
"ENSG00000166451","CENPN","3.17","4.88","15.66","1.85e-41","1.99e-40"
"ENSG00000166482","MFAP4","-4.74","3.34","-10.23","1.97e-21","6.78e-21"
"ENSG00000166670","MMP10","2.52","2.73","3.66","0.000294","0.000163"
"ENSG00000166780","BMERB1","-3.57","2.14","-11.31","3.49e-25","1.51e-24"
"ENSG00000166793","YPEL4","-2.44","0.72","-18.83","8.28e-54","1.82e-52"
"ENSG00000166803","PCLAF","5.65","6.58","24.07","7.52e-74","8.38e-72"
"ENSG00000166831","RBPMS2","-2.85","1.45","-9.84","3.99e-20","1.25e-19"
"ENSG00000166851","PLK1","3.38","5.05","16.15","2.35e-43","2.79e-42"
"ENSG00000166920","C15orf48","4.03","5.87","8.37","1.87e-15","4.11e-15"
"ENSG00000166923","GREM1","-3.01","1.74","-8.60","3.71e-16","8.73e-16"
"ENSG00000167232","ZNF91","-2.06","1.85","-6.55","2.23e-10","3e-10"
"ENSG00000167244","IGF2","-2.57","2.89","-5.84","1.29e-08","1.4e-08"
"ENSG00000167286","CD3D","2.17","3.75","5.51","7.34e-08","7.14e-08"
"ENSG00000167371","PRRT2","-3.77","1.06","-18.84","8.23e-54","1.82e-52"
"ENSG00000167434","CA4","-2.30","0.37","-16.14","2.54e-43","2.99e-42"
"ENSG00000167513","CDT1","3.92","4.71","18.05","9.41e-51","1.74e-49"
"ENSG00000167553","TUBA1C","2.80","8.89","10.97","5.69e-24","2.32e-23"
"ENSG00000167600","CYP2S1","2.22","3.29","4.09","5.51e-05","3.47e-05"
"ENSG00000167601","AXL","-2.09","3.13","-6.29","1.01e-09","1.26e-09"
"ENSG00000167608","TMC4","2.00","5.00","6.22","1.53e-09","1.86e-09"
