ens_id,name,log2FC,aveEXP,t,p-value,q-value
"ENSG00000169550","MUC15","-3.00","0.61","-25.25","5.96e-81","4.03e-79"
"ENSG00000169744","LDB2","-2.15","2.26","-17.42","2.01e-49","2.98e-48"
"ENSG00000169894","MUC3A","3.03","3.47","11.37","9.95e-26","3.48e-25"
"ENSG00000170190","SLC16A5","-2.74","2.60","-13.87","3.3e-35","2.19e-34"
"ENSG00000170323","FABP4","-2.13","1.43","-11.22","3.47e-25","1.17e-24"
"ENSG00000170382","LRRN2","-2.03","1.58","-11.80","2.79e-27","1.09e-26"
"ENSG00000170439","TMT1B","2.16","5.09","10.82","9.35e-24","2.81e-23"
"ENSG00000170549","IRX1","-3.09","0.71","-26.79","6.6e-87","5.64e-85"
"ENSG00000170561","IRX2","-2.59","0.84","-22.60","1.88e-70","7.45e-69"
"ENSG00000170835","CEL","-2.31","0.90","-22.00","4.51e-68","1.64e-66"
"ENSG00000171004","HS6ST2","-2.09","0.77","-15.19","2.11e-40","1.92e-39"
"ENSG00000171759","PAH","-3.73","2.42","-10.62","4.99e-23","1.43e-22"
"ENSG00000172478","MAB21L4","-2.14","0.99","-13.89","2.77e-35","1.86e-34"
"ENSG00000172482","AGXT","-2.42","0.86","-18.61","2.86e-54","5.45e-53"
"ENSG00000172889","EGFL7","-2.57","3.69","-16.61","3.79e-46","4.59e-45"
"ENSG00000172935","MRGPRF","-2.50","1.12","-24.09","2.06e-76","1.08e-74"
"ENSG00000173253","DMRT2","-4.16","0.88","-37.03","2.29e-123","1.85e-120"
"ENSG00000173369","C1QB","2.06","6.45","9.13","5.31e-18","9.78e-18"
"ENSG00000173376","NDNF","-2.86","0.75","-19.46","9.21e-58","2.03e-56"
"ENSG00000173641","HSPB7","-2.88","1.15","-22.00","4.44e-68","1.64e-66"
"ENSG00000173898","SPTBN2","-2.29","3.68","-12.70","1.15e-30","5.72e-30"
"ENSG00000174059","CD34","-2.05","3.36","-13.91","2.41e-35","1.62e-34"
"ENSG00000174358","SLC6A19","-2.48","1.96","-9.69","7.74e-20","1.69e-19"
"ENSG00000174514","MFSD4A","-2.13","3.29","-12.23","6.47e-29","2.86e-28"
"ENSG00000174938","SEZ6L2","3.30","4.98","16.59","4.47e-46","5.36e-45"
"ENSG00000174939","ASPHD1","2.68","3.74","15.40","2.92e-41","2.78e-40"
"ENSG00000175084","DES","-2.51","1.36","-13.05","5.01e-32","2.74e-31"
"ENSG00000175745","NR2F1","-2.67","2.34","-16.33","5.27e-45","5.94e-44"
"ENSG00000175879","HOXD8","-2.02","3.80","-11.56","2.05e-26","7.53e-26"
"ENSG00000176387","HSD11B2","-5.56","3.25","-21.92","1.02e-67","3.6e-66"
"ENSG00000176641","RNF152","-2.32","2.07","-13.36","3.32e-33","1.97e-32"
"ENSG00000176907","TCIM","-2.52","3.80","-9.29","1.68e-18","3.24e-18"
"ENSG00000176945","MUC20","-2.95","3.35","-14.96","1.74e-39","1.51e-38"
"ENSG00000177807","KCNJ10","-3.30","0.83","-27.59","5.94e-90","6.53e-88"
"ENSG00000178343","SHISA3","-2.48","2.21","-11.44","5.45e-26","1.94e-25"
"ENSG00000178363","CALML3","-2.07","0.54","-14.08","5.21e-36","3.66e-35"
"ENSG00000178828","RNF186","-2.10","1.64","-9.48","4.03e-19","8.16e-19"
"ENSG00000179348","GATA2","-2.48","1.86","-17.12","3.18e-48","4.41e-47"
"ENSG00000179761","PIPOX","-2.62","2.26","-11.99","5.34e-28","2.21e-27"
"ENSG00000180251","SLC9A4","-2.90","0.66","-22.68","8.37e-71","3.44e-69"
"ENSG00000181418","DDN","-2.52","0.52","-24.51","4.78e-78","2.87e-76"
"ENSG00000182107","TMEM30B","-2.14","1.33","-12.70","1.17e-30","5.77e-30"
"ENSG00000183844","FAM3B","-3.24","1.43","-18.09","3.73e-52","6.51e-51"
"ENSG00000184012","TMPRSS2","-3.76","1.97","-21.92","1.02e-67","3.6e-66"
"ENSG00000184672","RALYL","-2.39","0.49","-28.62","7.89e-94","1.11e-91"
"ENSG00000184905","TCEAL2","-2.76","1.14","-18.11","3.17e-52","5.55e-51"
"ENSG00000184908","CLCNKB","-5.13","2.76","-24.77","4.3e-79","2.79e-77"
"ENSG00000184937","WT1","-2.38","0.76","-19.72","8.24e-59","1.92e-57"
"ENSG00000184985","SORCS2","-2.01","1.04","-13.39","2.52e-33","1.51e-32"
"ENSG00000185133","INPP5J","-2.74","2.09","-20.38","1.72e-61","4.54e-60"
"ENSG00000185290","NUPR2","-2.97","0.85","-24.20","8.08e-77","4.44e-75"
"ENSG00000185567","AHNAK2","3.79","4.41","17.78","6.81e-51","1.12e-49"
"ENSG00000185818","NAT8L","-2.33","1.02","-17.36","3.53e-49","5.16e-48"
"ENSG00000186115","CYP4F2","-2.58","0.75","-15.33","5.57e-41","5.17e-40"
"ENSG00000186335","SLC36A2","-3.16","0.80","-19.67","1.35e-58","3.1e-57"
"ENSG00000186510","CLCNKA","-4.85","1.80","-29.62","1.56e-97","2.54e-95"
"ENSG00000186642","PDE2A","-2.69","1.63","-27.42","2.61e-89","2.56e-87"
"ENSG00000186818","LILRB4","2.26","3.26","12.32","2.97e-29","1.34e-28"
"ENSG00000187048","CYP4A11","-4.24","1.93","-16.79","7.39e-47","9.37e-46"
"ENSG00000187134","AKR1C1","2.31","7.23","8.81","6.02e-17","9.99e-17"
"ENSG00000187193","MT1X","-2.67","5.95","-13.04","5.54e-32","3.02e-31"
"ENSG00000187479","C11orf96","-2.66","3.26","-13.64","2.69e-34","1.71e-33"
"ENSG00000187783","TMEM72","-3.84","2.05","-18.41","1.8e-53","3.3e-52"
"ENSG00000187889","FYB2","-2.11","0.79","-21.26","4.51e-65","1.33e-63"
"ENSG00000188175","HEPACAM2","-2.85","0.59","-27.28","8.74e-89","8.34e-87"
"ENSG00000188488","SERPINA5","-4.30","2.80","-18.87","2.3e-55","4.55e-54"
"ENSG00000188536","HBA2","-2.01","5.62","-6.65","1.12e-10","9.97e-11"
"ENSG00000188906","LRRK2","2.22","4.84","11.10","9.76e-25","3.18e-24"
"ENSG00000189058","APOD","-2.48","2.27","-12.25","5.7e-29","2.53e-28"
"ENSG00000189367","KIAA0408","2.22","2.45","14.40","2.94e-37","2.24e-36"
"ENSG00000196511","TPK1","2.42","4.11","14.26","1.03e-36","7.6e-36"
"ENSG00000196549","MME","-2.51","2.96","-9.83","2.6e-20","5.92e-20"
"ENSG00000196557","CACNA1H","-2.06","1.85","-13.28","6.82e-33","3.95e-32"
"ENSG00000196616","ADH1B","-3.46","1.99","-17.55","5.96e-50","9.12e-49"
"ENSG00000196754","S100A2","-2.57","4.62","-12.75","7.53e-31","3.81e-30"
"ENSG00000197408","CYP2B6","-2.11","0.47","-21.72","6.03e-67","1.94e-65"
"ENSG00000197859","ADAMTSL2","-2.29","2.01","-15.73","1.37e-42","1.37e-41"
"ENSG00000197891","SLC22A12","-2.81","3.20","-9.34","1.15e-18","2.24e-18"
"ENSG00000197901","SLC22A6","-3.54","2.44","-9.30","1.51e-18","2.93e-18"
"ENSG00000197943","PLCG2","-2.15","2.87","-14.54","7.68e-38","6.02e-37"
"ENSG00000198075","SULT1C4","2.03","5.02","7.32","1.68e-12","1.84e-12"
"ENSG00000198398","TMEM207","-2.18","0.42","-20.91","1.15e-63","3.26e-62"
"ENSG00000198417","MT1F","-2.42","5.02","-11.22","3.6e-25","1.2e-24"
"ENSG00000198569","SLC34A3","-2.50","0.69","-19.81","3.45e-59","8.12e-58"
"ENSG00000198829","SUCNR1","-2.23","1.18","-12.52","5.47e-30","2.58e-29"
"ENSG00000198844","ARHGEF15","-2.11","1.55","-21.76","4.26e-67","1.4e-65"
"ENSG00000198910","L1CAM","-2.28","2.42","-7.91","3.3e-14","4.22e-14"
"ENSG00000204323","SMIM5","-2.85","1.96","-19.44","1.14e-57","2.48e-56"
"ENSG00000204511","MCCD1","-3.91","1.45","-20.42","1.16e-61","3.1e-60"
"ENSG00000204540","PSORS1C1","2.54","3.43","14.51","1.07e-37","8.35e-37"
"ENSG00000204653","ASPDH","-2.56","2.06","-12.89","2.18e-31","1.14e-30"
"ENSG00000205277","MUC12","2.56","2.51","10.49","1.36e-22","3.73e-22"
"ENSG00000205279","CTXN3","-3.08","0.83","-19.10","2.8e-56","5.9e-55"
"ENSG00000205358","MT1H","-6.24","2.10","-27.46","1.8e-89","1.88e-87"
"ENSG00000206172","HBA1","-2.04","4.80","-7.16","4.8e-12","4.96e-12"
"ENSG00000211445","GPX3","-2.89","9.11","-10.40","2.95e-22","7.86e-22"
"ENSG00000211452","DIO1","-2.36","1.85","-9.44","5.19e-19","1.04e-18"
"ENSG00000213918","DNASE1","-2.71","3.12","-18.68","1.46e-54","2.82e-53"
"ENSG00000214128","TMEM213","-4.79","1.73","-25.39","1.69e-81","1.19e-79"
"ENSG00000215644","GCGR","-3.79","1.00","-27.73","1.65e-90","2.06e-88"
"ENSG00000234906","APOC2","2.09","3.00","9.69","7.74e-20","1.69e-19"
"ENSG00000241119","UGT1A9","-3.35","2.77","-9.03","1.18e-17","2.08e-17"
"ENSG00000241186","CRIPTO","-2.60","1.04","-13.88","3.11e-35","2.07e-34"
"ENSG00000242110","AMACR","2.41","7.38","10.80","1.15e-23","3.43e-23"
"ENSG00000243955","GSTA1","-3.86","3.20","-11.09","1.05e-24","3.42e-24"
"ENSG00000244067","GSTA2","-3.96","1.84","-15.03","8.94e-40","7.92e-39"
"ENSG00000244734","HBB","-2.42","5.46","-8.19","4.89e-15","6.78e-15"
"ENSG00000248144","ADH1C","-2.68","0.89","-20.35","2.14e-61","5.5e-60"
"ENSG00000250799","PRODH2","-3.18","2.63","-11.78","3.16e-27","1.23e-26"
"ENSG00000257108","NHLRC4","-2.14","0.94","-20.13","1.73e-60","4.3e-59"
"ENSG00000258947","TUBB3","3.31","4.44","14.08","5.34e-36","3.74e-35"
"ENSG00000263961","RHEX","2.71","6.27","11.16","5.84e-25","1.93e-24"
"ENSG00000265107","GJA5","-2.14","1.82","-16.71","1.59e-46","1.97e-45"
"ENSG00000266964","FXYD1","-2.40","2.05","-13.25","8.8e-33","5.04e-32"
"ENSG00000267795","SMIM22","-2.23","2.66","-7.24","2.76e-12","2.95e-12"
"ENSG00000273706","LHX1","-2.30","0.93","-14.81","6.74e-39","5.62e-38"
"ENSG00000275385","CCL18","3.85","3.66","10.58","6.54e-23","1.85e-22"
"ENSG00000276409","CCL14","-2.56","2.77","-13.16","1.94e-32","1.09e-31"
"ENSG00000277586","NEFL","2.50","4.18","7.80","7.18e-14","8.93e-14"
