ens_id,name,log2FC,aveEXP,t,p-value,q-value
"ENSG00000112936","C7","-2.97","7.87","-11.99","1.56e-25","3.55e-25"
"ENSG00000113916","BCL6","-2.43","4.75","-19.98","2.66e-50","9.38e-49"
"ENSG00000114771","AADAC","-5.58","5.22","-25.01","1.17e-64","4.74e-62"
"ENSG00000115290","GRB14","-2.63","4.02","-13.31","1.2e-29","4.11e-29"
"ENSG00000115461","IGFBP5","-3.33","5.83","-19.54","5.42e-49","1.61e-47"
"ENSG00000115602","IL1RL1","-3.61","2.81","-21.50","8.97e-55","5.6e-53"
"ENSG00000116194","ANGPTL1","-2.71","3.43","-14.44","3.34e-33","1.65e-32"
"ENSG00000118849","RARRES1","-3.14","2.86","-17.31","3.39e-42","4.3e-41"
"ENSG00000119147","ECRG4","-2.15","1.90","-15.64","5.63e-37","4.03e-36"
"ENSG00000119943","PYROXD2","-2.60","3.14","-18.54","5.64e-46","1.07e-44"
"ENSG00000120457","KCNJ5","-2.99","3.73","-14.19","1.95e-32","8.77e-32"
"ENSG00000121211","MND1","2.38","1.45","19.84","6.93e-50","2.25e-48"
"ENSG00000121310","ECHDC2","-2.13","6.54","-18.63","3.08e-46","6.13e-45"
"ENSG00000122176","FMOD","-2.21","2.61","-17.33","3.1e-42","4.01e-41"
"ENSG00000122584","NXPH1","-2.20","3.20","-10.81","6.65e-22","1.07e-21"
"ENSG00000122585","NPY","-2.18","1.49","-6.79","1.18e-10","6.47e-11"
"ENSG00000122691","TWIST1","2.27","3.15","14.29","9.9e-33","4.65e-32"
"ENSG00000123454","DBH","-2.75","1.79","-8.52","3.29e-15","2.73e-15"
"ENSG00000123689","G0S2","-2.29","6.10","-9.27","2.34e-17","2.41e-17"
"ENSG00000124491","F13A1","-2.67","3.50","-12.64","1.45e-27","4.02e-27"
"ENSG00000127399","LRRC61","-2.68","4.41","-12.83","3.83e-28","1.12e-27"
"ENSG00000127564","PKMYT1","2.68","2.39","19.33","2.38e-48","6.37e-47"
"ENSG00000127954","STEAP4","-3.36","3.79","-20.41","1.38e-51","5.88e-50"
"ENSG00000129467","ADCY4","-2.28","2.88","-24.75","6.13e-64","1.86e-61"
"ENSG00000129757","CDKN1C","-2.69","5.66","-11.40","1.06e-23","2.02e-23"
"ENSG00000129824","RPS4Y1","-2.15","4.00","-4.01","8.35e-05","2.5e-05"
"ENSG00000130208","APOC1","-2.70","9.40","-9.82","6.08e-19","7.35e-19"
"ENSG00000132840","BHMT2","-2.71","3.20","-17.03","2.61e-41","3.03e-40"
"ENSG00000133169","BEX1","2.17","4.07","7.19","1.17e-11","7.13e-12"
"ENSG00000133392","MYH11","-2.23","2.66","-13.76","4.45e-31","1.8e-30"
"ENSG00000133878","DUSP26","-2.38","3.43","-13.29","1.41e-29","4.77e-29"
