ens_id,name,log2FC,aveEXP,t,p-value,q-value
"ENSG00000110092","CCND1","2.06","6.25","37.41","5.79e-182","2.69e-181"
"ENSG00000110492","MDK","2.81","6.68","30.14","2.23e-136","2.42e-136"
"ENSG00000111404","RERGL","-2.56","1.89","-36.94","4.26e-179","1.79e-178"
"ENSG00000112936","C7","-3.81","4.51","-31.41","1.8e-144","2.42e-144"
"ENSG00000113396","SLC27A6","2.51","2.81","19.08","7.4e-68","2.11e-68"
"ENSG00000113594","LIFR","-2.56","3.23","-37.65","1.83e-183","8.89e-183"
"ENSG00000113916","BCL6","-2.05","4.65","-34.25","2.37e-162","5.53e-162"
"ENSG00000113924","HGD","-2.43","4.20","-23.01","1.79e-91","7.8e-92"
"ENSG00000113946","CLDN16","3.75","2.78","33.28","3.1e-156","6.04e-156"
"ENSG00000114812","VIPR1","-2.70","2.52","-34.60","1.59e-164","4.1e-164"
"ENSG00000114857","NKTR","-2.21","4.75","-34.45","1.31e-163","3.22e-163"
"ENSG00000115112","TFCP2L1","-3.48","3.03","-40.48","1.23e-200","1.28e-199"
"ENSG00000115380","EFEMP1","-2.68","5.78","-31.15","8.14e-143","1.05e-142"
"ENSG00000115414","FN1","4.33","9.08","27.38","6.38e-119","4.7e-119"
"ENSG00000115705","TPO","-4.01","8.65","-22.45","4.91e-88","1.99e-88"
"ENSG00000115828","QPCT","3.44","3.99","38.45","2.41e-188","1.38e-187"
"ENSG00000116132","PRRX1","-2.56","3.81","-34.39","3.19e-163","7.71e-163"
"ENSG00000117308","GALE","2.36","4.91","35.14","6.23e-168","1.78e-167"
"ENSG00000118004","COLEC11","-2.01","2.76","-27.53","7.11e-120","5.35e-120"
"ENSG00000118495","PLAGL1","-2.17","2.56","-42.07","3.64e-210","5.44e-209"
"ENSG00000118849","RARRES1","-2.04","2.35","-22.99","2.16e-91","9.36e-92"
"ENSG00000119655","NPC2","2.64","10.32","44.58","6.59e-225","2.02e-223"
"ENSG00000120820","GLT8D2","-2.18","3.57","-29.74","7.24e-134","7.49e-134"
"ENSG00000121716","PILRB","-2.74","4.68","-34.81","7.11e-166","1.93e-165"
"ENSG00000122145","TBX22","-2.64","1.53","-42.82","1.35e-214","2.46e-213"
"ENSG00000122756","CNTFR","-2.51","1.98","-26.88","9.37e-116","6.47e-116"
"ENSG00000124145","SDC4","2.43","7.33","30.50","1.15e-138","1.32e-138"
"ENSG00000124205","EDN3","-2.06","2.87","-17.39","3.33e-58","8.15e-59"
"ENSG00000124440","HIF3A","-3.23","1.93","-45.69","2.43e-231","9.84e-230"
"ENSG00000125144","MT1G","-2.91","8.08","-14.88","1.06e-44","2.06e-45"
"ENSG00000125931","CITED1","4.72","5.64","34.57","2.45e-164","6.21e-164"
"ENSG00000126218","F10","-2.22","1.69","-43.80","2.43e-220","5.5e-219"
"ENSG00000127083","OMD","-2.09","1.75","-30.20","8.1e-137","8.88e-137"
"ENSG00000129451","KLK10","4.05","3.21","27.95","1.72e-122","1.36e-122"
"ENSG00000129467","ADCY4","-2.77","3.80","-38.54","6.57e-189","3.92e-188"
"ENSG00000129824","RPS4Y1","-2.66","3.36","-10.05","1.49e-22","1.93e-23"
"ENSG00000130208","APOC1","2.42","6.52","19.21","1.28e-68","3.69e-69"
"ENSG00000130226","DPP6","-3.25","2.46","-39.15","1.25e-192","9.13e-192"
"ENSG00000130513","GDF15","3.05","4.80","27.99","8.6e-123","6.85e-123"
"ENSG00000130558","OLFM1","-2.22","2.66","-38.57","4.26e-189","2.56e-188"
"ENSG00000130595","TNNT3","-2.13","1.41","-34.27","1.85e-162","4.34e-162"
"ENSG00000130948","HSD17B3","-2.57","1.66","-45.88","2.01e-232","9.14e-231"
"ENSG00000131018","SYNE1","-2.14","4.97","-33.77","2.3e-159","4.88e-159"
"ENSG00000131386","GALNT15","-2.03","2.31","-25.58","1.66e-107","9.77e-108"
"ENSG00000131435","PDLIM4","2.08","5.52","17.39","3.52e-58","8.62e-59"
"ENSG00000132386","SERPINF1","-2.78","6.00","-31.54","2.83e-145","3.9e-145"
"ENSG00000132793","LPIN3","-2.25","3.96","-40.38","4.59e-200","4.61e-199"
"ENSG00000133048","CHI3L1","2.78","5.19","15.50","6.63e-48","1.36e-48"
"ENSG00000133063","CHIT1","2.06","2.68","16.14","2.44e-51","5.3e-52"
"ENSG00000133392","MYH11","-2.54","3.81","-28.67","4.58e-127","4e-127"
"ENSG00000133800","LYVE1","-3.54","2.63","-50.74","1.1e-259","1.39e-257"
"ENSG00000134201","GSTM5","-2.18","1.80","-36.34","2.4e-175","8.82e-175"
"ENSG00000134569","LRP4","3.00","4.27","32.78","4.22e-153","7.41e-153"
"ENSG00000134853","PDGFRA","-2.70","2.32","-40.24","3.17e-199","3.1e-198"
"ENSG00000134873","CLDN10","2.97","2.12","22.91","6.66e-91","2.84e-91"
"ENSG00000134884","ARGLU1","-2.05","6.21","-32.67","1.95e-152","3.37e-152"
"ENSG00000135218","CD36","-2.83","4.56","-28.50","5.34e-126","4.56e-126"
"ENSG00000135473","PAN2","-2.73","5.49","-40.73","3.48e-202","3.78e-201"
"ENSG00000136155","SCEL","3.20","2.96","33.32","1.76e-156","3.46e-156"
"ENSG00000137077","CCL21","-5.77","5.18","-36.37","1.51e-175","5.59e-175"
"ENSG00000137648","TMPRSS4","3.47","2.64","26.62","4.12e-114","2.75e-114"
"ENSG00000137673","MMP7","2.18","1.82","18.06","5.5e-62","1.43e-62"
"ENSG00000137868","STRA6","2.58","2.09","26.40","1.01e-112","6.61e-113"
"ENSG00000138185","ENTPD1","2.44","4.83","33.75","3.26e-159","6.87e-159"
"ENSG00000138356","AOX1","-3.32","2.40","-43.68","1.18e-219","2.63e-218"
"ENSG00000138722","MMRN1","-3.67","2.56","-52.77","1e-270","2.84e-268"
"ENSG00000138834","MAPK8IP3","-2.35","4.76","-34.45","1.29e-163","3.18e-163"
"ENSG00000139318","DUSP6","2.66","6.50","31.72","2.06e-146","2.93e-146"
"ENSG00000140092","FBLN5","-2.59","4.75","-40.88","4.44e-203","5.19e-202"
"ENSG00000140285","FGF7","-3.19","2.65","-39.83","9.41e-197","8.08e-196"
"ENSG00000140400","MAN2C1","-2.05","6.81","-34.75","1.79e-165","4.78e-165"
"ENSG00000140488","CELF6","-2.44","2.22","-39.16","1.21e-192","8.93e-192"
"ENSG00000141068","KSR1","-2.21","4.47","-35.54","2.15e-170","6.78e-170"
"ENSG00000141338","ABCA8","-2.68","2.99","-35.70","2.11e-171","6.86e-171"
"ENSG00000142102","PGGHG","-3.19","4.69","-30.20","8.56e-137","9.37e-137"
"ENSG00000143171","RXRG","3.86","3.54","35.88","1.55e-172","5.26e-172"
"ENSG00000143196","DPT","-4.21","3.45","-41.29","1.55e-205","1.95e-204"
"ENSG00000143217","NECTIN4","2.57","1.99","32.24","1.02e-149","1.61e-149"
"ENSG00000143320","CRABP2","2.44","5.12","22.03","1.67e-85","6.41e-86"
"ENSG00000143632","ACTA1","-2.11","1.00","-25.91","1.27e-109","7.78e-110"
"ENSG00000143867","OSR1","-2.65","1.60","-45.54","1.79e-230","6.56e-229"
"ENSG00000144891","AGTR1","-2.73","1.94","-38.88","5.48e-191","3.67e-190"
"ENSG00000145020","AMT","-2.14","4.02","-31.19","4.36e-143","5.67e-143"
"ENSG00000145362","ANK2","-2.09","2.44","-32.57","8.78e-152","1.48e-151"
"ENSG00000145423","SFRP2","-2.06","4.35","-13.12","5.97e-36","9.95e-37"
"ENSG00000145864","GABRB2","3.19","2.11","32.32","3.34e-150","5.34e-150"
"ENSG00000146067","FAM193B","-2.10","5.22","-34.83","5.29e-166","1.44e-165"
"ENSG00000147041","SYTL5","2.12","1.49","26.75","6.9e-115","4.68e-115"
"ENSG00000147255","IGSF1","3.55","4.39","27.45","2.33e-119","1.74e-119"
"ENSG00000147256","ARHGAP36","3.70","2.38","22.55","1.15e-88","4.7e-89"
"ENSG00000147257","GPC3","-3.47","2.26","-52.48","3.83e-269","7.25e-267"
"ENSG00000147606","SLC26A7","-3.07","5.92","-25.90","1.54e-109","9.43e-110"
"ENSG00000148346","LCN2","2.57","3.82","17.97","1.87e-61","4.83e-62"
"ENSG00000149294","NCAM1","-2.08","3.54","-22.83","2.14e-90","9.08e-91"
"ENSG00000149451","ADAM33","-3.63","2.19","-52.07","5.79e-267","9.38e-265"
"ENSG00000149948","HMGA2","2.99","2.15","35.56","1.59e-170","5.05e-170"
"ENSG00000151365","THRSP","2.47","2.98","26.73","8.77e-115","5.92e-115"
"ENSG00000151632","AKR1C2","-3.42","2.79","-38.22","5.9e-187","3.25e-186"
"ENSG00000151849","CENPJ","-2.65","3.05","-40.25","2.85e-199","2.81e-198"
"ENSG00000152128","TMEM163","2.08","2.40","20.31","4.53e-75","1.46e-75"
"ENSG00000152207","CYSLTR2","2.46","2.05","27.32","1.65e-118","1.2e-118"
"ENSG00000152284","TCF7L1","-2.28","3.67","-33.89","4.07e-160","8.85e-160"
"ENSG00000152292","SH2D6","-2.04","1.61","-37.81","2.09e-184","1.05e-183"
"ENSG00000152580","IGSF10","-2.15","1.20","-43.63","2.2e-219","4.8e-218"
"ENSG00000153246","PLA2R1","-2.97","3.74","-40.06","3.93e-198","3.63e-197"
"ENSG00000153291","SLC25A27","-2.72","4.28","-34.94","1.17e-166","3.21e-166"
"ENSG00000153823","PID1","-3.10","1.99","-56.10","2.55e-288","2.89e-285"
"ENSG00000153902","LGI4","-3.01","2.43","-46.87","4.49e-238","2.83e-236"
