ens_id,name,log2FC,aveEXP,t,p-value,q-value
"ENSG00000184347","SLIT3","-2.89","2.48","-11.85","2.81e-28","2.93e-27"
"ENSG00000184905","TCEAL2","-2.76","0.88","-13.24","7.06e-34","1.2e-32"
"ENSG00000185052","SLC24A3","-2.16","1.63","-10.61","1.44e-23","9.99e-23"
"ENSG00000185274","GALNT17","-2.60","0.81","-14.87","9.07e-41","2.87e-39"
"ENSG00000186185","KIF18B","2.25","2.76","11.87","2.3e-28","2.4e-27"
"ENSG00000186193","SAPCD2","2.23","3.11","10.41","7.86e-23","5.08e-22"
"ENSG00000186642","PDE2A","-2.63","1.65","-16.53","5.21e-48","2.87e-46"
"ENSG00000186832","KRT16","2.77","5.23","4.38","1.46e-05","1.38e-05"
"ENSG00000186847","KRT14","3.33","4.68","4.45","1.07e-05","1.04e-05"
"ENSG00000187479","C11orf96","-3.19","4.31","-11.02","4.44e-25","3.57e-24"
"ENSG00000187608","ISG15","2.43","7.66","8.38","7.1e-16","2.41e-15"
"ENSG00000187741","FANCA","2.10","4.25","12.21","1.02e-29","1.21e-28"
"ENSG00000187955","COL14A1","-2.81","2.85","-10.41","8.15e-23","5.26e-22"
"ENSG00000188257","PLA2G2A","-3.15","4.47","-5.75","1.66e-08","2.49e-08"
"ENSG00000188293","IGFL1","2.12","3.29","3.78","0.000176","0.000136"
"ENSG00000188783","PRELP","-4.06","1.89","-15.00","2.7e-41","9.19e-40"
"ENSG00000189058","APOD","-3.33","4.04","-7.37","8.53e-13","2.16e-12"
"ENSG00000189129","PLAC9","-2.99","2.45","-12.77","6.1e-32","8.54e-31"
"ENSG00000189159","JPT1","2.55","8.46","15.20","3.5e-42","1.25e-40"
"ENSG00000189334","S100A14","2.49","6.80","5.00","8.41e-07","9.78e-07"
"ENSG00000196136","SERPINA3","-2.61","1.86","-7.38","7.98e-13","2.03e-12"
"ENSG00000196557","CACNA1H","-3.33","2.08","-14.14","1.21e-37","2.83e-36"
"ENSG00000196569","LAMA2","-2.43","1.57","-13.95","8.15e-37","1.77e-35"
"ENSG00000196611","MMP1","2.41","3.80","5.07","5.76e-07","6.89e-07"
"ENSG00000196616","ADH1B","-5.74","1.45","-19.64","5.09e-62","9.87e-60"
"ENSG00000196924","FLNA","-2.47","8.63","-8.32","1.1e-15","3.65e-15"
"ENSG00000197043","ANXA6","-2.40","5.06","-8.34","1.01e-15","3.38e-15"
"ENSG00000197253","TPSB2","-3.00","3.60","-8.65","9.94e-17","3.66e-16"
