ens_id,name,log2FC,aveEXP,t,p-value,q-value
"ENSG00000241399","CD302","-3.63","2.84","-10.81","2.45e-14","2.17e-14"
"ENSG00000241484","ARHGAP8","3.07","3.03","6.99","8.54e-09","1.68e-09"
"ENSG00000241635","UGT1A1","-5.03","2.88","-7.51","1.38e-09","3.21e-10"
"ENSG00000243449","NICOL1","3.32","3.70","9.43","2.07e-12","9.84e-13"
"ENSG00000243955","GSTA1","-7.07","4.58","-7.19","4.21e-09","8.84e-10"
"ENSG00000244067","GSTA2","-5.74","2.50","-7.73","6.51e-10","1.62e-10"
"ENSG00000244274","DBNDD2","3.99","5.24","12.25","3.08e-16","6.16e-16"
"ENSG00000244414","CFHR1","-6.56","4.35","-7.62","9.55e-10","2.3e-10"
"ENSG00000244474","UGT1A4","-5.74","2.60","-9.90","4.32e-13","2.5e-13"
"ENSG00000248144","ADH1C","-5.62","4.87","-6.39","6.78e-08","1.12e-08"
"ENSG00000249948","GBA3","-4.51","2.30","-8.91","1.13e-11","4.28e-12"
"ENSG00000250722","SELENOP","-3.14","8.08","-7.38","2.15e-09","4.8e-10"
"ENSG00000250799","PRODH2","-4.74","2.60","-8.96","9.66e-12","3.74e-12"
"ENSG00000253368","TRNP1","3.41","4.41","8.42","6.08e-11","1.91e-11"
"ENSG00000255974","CYP2A6","-8.32","3.51","-9.71","8.14e-13","4.38e-13"
"ENSG00000257017","HP","-9.21","7.49","-6.47","5.23e-08","8.86e-09"
"ENSG00000258947","TUBB3","4.56","4.14","10.66","3.81e-14","3.14e-14"
"ENSG00000261701","HPR","-6.48","2.98","-9.10","6.13e-12","2.52e-12"
"ENSG00000266964","FXYD1","-5.21","4.29","-10.90","1.8e-14","1.69e-14"
"ENSG00000267467","APOC4","-7.01","3.03","-9.74","7.3e-13","3.98e-13"
"ENSG00000267795","SMIM22","5.71","5.49","6.47","5.11e-08","8.68e-09"
"ENSG00000272398","CD24","4.90","7.39","13.35","1.29e-17","5.71e-17"
"ENSG00000273047","ENSG00000273047","-3.49","3.85","-7.92","3.28e-10","8.7e-11"
"ENSG00000275152","CCL16","-4.59","1.79","-9.82","5.64e-13","3.17e-13"
"ENSG00000275410","HNF1B","3.41","5.16","6.32","8.9e-08","1.44e-08"
"ENSG00000276409","CCL14","-3.22","3.43","-4.96","9.54e-06","1.1e-06"
"ENSG00000277893","SRD5A2","-4.26","1.28","-17.80","1.57e-22","1.96e-20"
"ENSG00000281991","TMEM265","3.75","4.71","11.43","3.59e-15","4.55e-15"
