ens_id,name,log2FC,aveEXP,t,p-value,q-value
"ENSG00000167676","PLIN4","-6.32","0.87","-10.62","4.29e-19","4.95e-16"
"ENSG00000167768","KRT1","-3.29","1.01","-4.39","2.45e-05","0.0023"
"ENSG00000168386","FILIP1L","-2.58","1.63","-4.29","3.65e-05","0.00314"
"ENSG00000168477","TNXB","-3.40","2.43","-4.66","8.05e-06","0.000859"
"ENSG00000168497","CAVIN2","-2.63","1.64","-3.96","0.000125","0.0082"
"ENSG00000169282","KCNAB1","-2.27","0.97","-4.03","9.68e-05","0.00676"
"ENSG00000170262","MRAP","-3.97","0.19","-14.56","1.65e-28","9.53e-25"
"ENSG00000170276","HSPB2","-2.19","0.58","-6.25","6.04e-09","1.16e-06"
"ENSG00000172137","CALB2","-2.62","0.83","-4.29","3.57e-05","0.00309"
"ENSG00000173641","HSPB7","-4.71","0.31","-12.76","3.01e-24","6.93e-21"
"ENSG00000174059","CD34","-2.30","3.61","-4.02","0.000102","0.00703"
"ENSG00000174348","PODN","-3.48","2.09","-3.97","0.000122","0.00809"
"ENSG00000174697","LEP","-4.00","0.15","-15.20","5.43e-30","6.26e-26"
"ENSG00000175084","DES","-3.76","0.62","-6.37","3.51e-09","7.35e-07"
"ENSG00000175445","LPL","-4.64","1.24","-7.83","1.99e-12","8.82e-10"
"ENSG00000175745","NR2F1","-2.59","0.92","-5.03","1.66e-06","0.000211"
"ENSG00000176194","CIDEA","-4.88","0.31","-9.08","2.3e-15","1.47e-12"
"ENSG00000177666","PNPLA2","-2.49","5.90","-8.08","5.06e-13","2.33e-10"
"ENSG00000181092","ADIPOQ","-6.02","0.30","-12.14","9.43e-23","1.81e-19"
"ENSG00000181234","TMEM132C","-2.46","0.29","-7.21","5.11e-11","1.63e-08"
"ENSG00000183813","CCR4","-2.35","1.09","-4.06","8.56e-05","0.0062"
"ENSG00000184601","C14orf180","-3.30","0.51","-5.17","9.11e-07","0.000128"
"ENSG00000184811","TRARG1","-4.99","0.25","-13.33","1.3e-25","3.73e-22"
"ENSG00000185818","NAT8L","-2.29","0.75","-4.19","5.24e-05","0.00414"
"ENSG00000187288","CIDEC","-5.96","0.43","-10.36","1.86e-18","1.94e-15"
"ENSG00000188783","PRELP","-3.10","1.20","-4.11","7.05e-05","0.00528"
"ENSG00000189129","PLAC9","-3.39","2.27","-4.41","2.27e-05","0.0022"
"ENSG00000197561","ELANE","-2.08","0.57","-4.99","2.02e-06","0.00025"
"ENSG00000197614","MFAP5","-4.54","1.04","-5.19","8.39e-07","0.000121"
"ENSG00000197766","CFD","-5.12","3.57","-6.38","3.32e-09","7.09e-07"
"ENSG00000205362","MT1A","-2.49","0.55","-4.91","2.85e-06","0.000338"
"ENSG00000214456","PLIN5","-2.51","0.76","-4.16","5.99e-05","0.00458"
"ENSG00000221818","EBF2","-2.16","0.31","-7.75","2.99e-12","1.28e-09"
"ENSG00000224940","PRRT4","-2.03","0.74","-6.35","3.87e-09","7.97e-07"
"ENSG00000233608","TWIST2","-2.50","0.34","-6.25","6.19e-09","1.17e-06"
"ENSG00000254445","HSPB2-C11orf52","-2.53","0.37","-7.31","3.01e-11","1.02e-08"
"ENSG00000263155","MYZAP","-2.62","1.09","-4.70","6.85e-06","0.000752"
"ENSG00000278299","TBC1D3C","-2.29","0.42","-4.65","8.47e-06","0.000895"
