ens_id,name,log2FC,aveEXP,t,p-value,q-value
"ENSG00000112936","C7","-4.69","4.30","-36.27","1.93e-157","7.7e-157"
"ENSG00000112984","KIF20A","2.50","2.16","40.28","1.07e-177","8.58e-177"
"ENSG00000113196","HAND1","-3.52","2.41","-23.53","1.08e-88","5.67e-89"
"ENSG00000113296","THBS4","-2.91","3.10","-17.13","1.96e-54","4.4e-55"
"ENSG00000113368","LMNB1","2.89","3.98","29.52","1.44e-121","1.97e-121"
"ENSG00000113594","LIFR","-2.38","1.78","-39.45","1.48e-173","1.01e-172"
"ENSG00000113645","WWC1","2.48","2.79","33.30","7.11e-142","1.76e-141"
"ENSG00000113722","CDX1","3.17","5.44","15.49","3.36e-46","6.23e-47"
"ENSG00000113916","BCL6","-2.50","4.24","-21.75","5.72e-79","2.37e-79"
"ENSG00000114200","BCHE","-3.10","2.20","-28.77","1.66e-117","2.01e-117"
"ENSG00000114346","ECT2","2.71","3.51","51.97","6.09e-232","4.7e-230"
"ENSG00000114631","PODXL2","2.39","3.45","33.74","3.44e-144","9.05e-144"
"ENSG00000114790","ARHGEF26","-2.60","2.67","-26.01","2.56e-102","1.99e-102"
"ENSG00000115009","CCL20","3.99","3.73","28.41","1.65e-115","1.89e-115"
"ENSG00000115163","CENPA","2.78","2.27","43.11","1.73e-191","2.55e-190"
"ENSG00000115255","REEP6","2.02","2.65","28.47","7.46e-116","8.64e-116"
"ENSG00000115295","CLIP4","-2.50","2.42","-29.82","3.44e-123","4.9e-123"
"ENSG00000115339","GALNT3","3.01","4.13","24.45","9.83e-94","5.95e-94"
"ENSG00000115363","EVA1A","2.24","1.80","31.92","1.61e-134","3.28e-134"
"ENSG00000115386","REG1A","2.72","3.68","11.17","1.42e-26","1.7e-27"
"ENSG00000115556","PLCD4","-2.49","2.07","-25.67","1.79e-100","1.32e-100"
"ENSG00000115593","SMYD1","-2.24","1.38","-21.73","6.99e-79","2.88e-79"
"ENSG00000115884","SDC1","3.47","4.92","22.30","5.88e-82","2.61e-82"
"ENSG00000116133","DHCR24","2.10","4.94","18.77","5.96e-63","1.65e-63"
"ENSG00000116194","ANGPTL1","-3.72","2.71","-35.23","5.12e-152","1.82e-151"
"ENSG00000116299","ELAPOR1","2.03","3.40","13.53","7.22e-37","1.08e-37"
"ENSG00000116741","RGS2","-2.97","5.52","-23.65","2.3e-89","1.22e-89"
"ENSG00000116771","AGMAT","2.51","2.62","26.33","4.39e-104","3.66e-104"
"ENSG00000117013","KCNQ4","-2.14","2.17","-24.93","2.22e-96","1.46e-96"
