ens_id,name,log2FC,aveEXP,t,p-value,q-value
"ENSG00000102837","OLFM4","-2.07","1.08","-9.02","3.15e-15","6.27e-15"
"ENSG00000102886","GDPD3","-2.02","1.64","-13.00","8.26e-25","6.68e-24"
"ENSG00000103187","COTL1","-2.06","5.03","-8.40","9.26e-14","1.48e-13"
"ENSG00000103253","HAGHL","3.04","4.69","19.60","1.48e-39","1.58e-37"
"ENSG00000103316","CRYM","-2.15","2.70","-8.13","4.11e-13","6.02e-13"
"ENSG00000103449","SALL1","-2.80","2.96","-10.06","1.04e-17","2.95e-17"
"ENSG00000103528","SYT17","2.52","3.79","10.73","2.42e-19","8.52e-19"
"ENSG00000103534","TMC5","2.36","1.68","10.50","8.67e-19","2.83e-18"
"ENSG00000104112","SCG3","3.12","1.88","8.45","7.34e-14","1.19e-13"
"ENSG00000104327","CALB1","-4.75","2.33","-14.74","6.74e-29","1.08e-27"
"ENSG00000104332","SFRP1","-5.11","2.85","-19.76","7.15e-40","8.55e-38"
"ENSG00000104368","PLAT","-3.02","4.06","-12.44","1.79e-23","1.16e-22"
"ENSG00000104808","DHDH","-2.57","1.41","-9.33","6e-16","1.31e-15"
"ENSG00000105426","PTPRS","-2.12","2.21","-10.58","5.57e-19","1.85e-18"
"ENSG00000105929","ATP6V0A4","2.54","6.69","8.55","4.28e-14","7.3e-14"
"ENSG00000105971","CAV2","2.28","5.11","10.05","1.11e-17","3.12e-17"
"ENSG00000106484","MEST","-2.45","2.34","-10.67","3.41e-19","1.18e-18"
"ENSG00000106541","AGR2","-2.20","1.22","-10.83","1.41e-19","5.12e-19"
"ENSG00000106565","TMEM176B","-4.46","5.02","-15.95","1.18e-31","2.69e-30"
"ENSG00000106624","AEBP1","-2.82","4.36","-9.89","2.71e-17","7.22e-17"
"ENSG00000106688","SLC1A1","-2.32","1.91","-11.30","1.04e-20","4.49e-20"
"ENSG00000106772","PRUNE2","-2.44","1.88","-16.17","3.76e-32","9.46e-31"
"ENSG00000106927","AMBP","-2.41","1.35","-16.15","4.01e-32","1e-30"
"ENSG00000107105","ELAVL2","2.28","1.48","12.62","6.97e-24","4.91e-23"
"ENSG00000107130","NCS1","-2.75","2.31","-12.92","1.33e-24","1.05e-23"
"ENSG00000107165","TYRP1","-2.35","1.16","-10.80","1.63e-19","5.9e-19"
"ENSG00000107249","GLIS3","-2.12","2.05","-10.13","7.12e-18","2.06e-17"
"ENSG00000107317","PTGDS","-5.28","3.90","-16.08","5.98e-32","1.44e-30"
"ENSG00000107562","CXCL12","-3.27","4.01","-11.72","9.99e-22","5.06e-21"
"ENSG00000107611","CUBN","-3.03","1.49","-13.37","1.08e-25","9.94e-25"
"ENSG00000107742","SPOCK2","-3.05","3.40","-15.93","1.26e-31","2.84e-30"
"ENSG00000107954","NEURL1","2.03","2.09","10.28","3.02e-18","9.13e-18"
"ENSG00000108176","DNAJC12","-2.21","1.41","-11.91","3.53e-22","1.92e-21"
"ENSG00000108187","PBLD","-2.80","3.58","-11.92","3.35e-22","1.83e-21"
"ENSG00000108381","ASPA","-2.34","1.73","-12.72","3.84e-24","2.81e-23"
"ENSG00000108551","RASD1","-2.05","5.52","-6.70","6.82e-10","6.45e-10"
"ENSG00000108691","CCL2","-2.83","4.93","-9.34","5.67e-16","1.24e-15"
"ENSG00000108846","ABCC3","-2.55","2.08","-12.43","1.93e-23","1.24e-22"
"ENSG00000108950","FAM20A","-2.78","2.59","-13.41","9.14e-26","8.52e-25"
"ENSG00000109339","MAPK10","-2.23","2.79","-11.17","2.09e-20","8.45e-20"
"ENSG00000109610","SOD3","-4.30","3.96","-15.41","1.98e-30","3.82e-29"
"ENSG00000109667","SLC2A9","-2.09","2.74","-10.85","1.27e-19","4.66e-19"
"ENSG00000109684","CLNK","3.04","3.33","12.03","1.73e-22","9.79e-22"
"ENSG00000109743","BST1","-2.01","1.66","-11.45","4.37e-21","2e-20"
"ENSG00000109846","CRYAB","-2.27","8.41","-5.95","2.66e-08","2e-08"
"ENSG00000109929","SC5D","2.40","5.34","10.79","1.74e-19","6.27e-19"
"ENSG00000110195","FOLR1","-3.38","4.34","-9.57","1.58e-16","3.76e-16"
"ENSG00000110328","GALNT18","-2.07","3.18","-9.98","1.63e-17","4.46e-17"
"ENSG00000110887","DAO","-2.87","1.35","-11.24","1.45e-20","6.12e-20"
"ENSG00000111052","LIN7A","2.21","4.11","11.29","1.08e-20","4.66e-20"
"ENSG00000111058","ACSS3","2.12","4.53","8.52","5.02e-14","8.46e-14"
"ENSG00000111341","MGP","-2.64","7.59","-9.84","3.58e-17","9.4e-17"
"ENSG00000111344","RASAL1","-3.65","2.06","-20.09","1.46e-40","2.21e-38"
"ENSG00000111371","SLC38A1","2.07","4.82","10.59","5.4e-19","1.8e-18"
"ENSG00000111404","RERGL","-2.71","1.78","-11.45","4.36e-21","2e-20"
"ENSG00000112499","SLC22A2","-4.05","2.76","-11.63","1.64e-21","8e-21"
"ENSG00000112530","PACRG","2.22","4.22","9.28","7.55e-16","1.62e-15"
"ENSG00000112782","CLIC5","-3.38","2.01","-14.78","5.58e-29","9.01e-28"
"ENSG00000112936","C7","-3.69","5.43","-9.26","8.47e-16","1.81e-15"
